"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	16	3303059	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	12	3324658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	10	3760839	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	12	3166928	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	483	3166928	15.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2000"	"2000"	"Black or African American"	"2054-5"	"Male"	"M"	463	3199210	14.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2001"	"2001"	"Black or African American"	"2054-5"	"Male"	"M"	518	3241467	16.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2002"	"2002"	"Black or African American"	"2054-5"	"Male"	"M"	500	3273969	15.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	519	3303059	15.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	497	3324658	14.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"Black or African American"	"2054-5"	"Male"	"M"	551	3347579	16.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2006"	"2006"	"Black or African American"	"2054-5"	"Male"	"M"	506	3372310	15.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2007"	"2007"	"Black or African American"	"2054-5"	"Male"	"M"	517	3401460	15.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2008"	"2008"	"Black or African American"	"2054-5"	"Male"	"M"	494	3437306	14.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	442	3477179	12.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2010"	"2010"	"Black or African American"	"2054-5"	"Male"	"M"	427	3508921	12.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"Black or African American"	"2054-5"	"Male"	"M"	510	3551546	14.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"Black or African American"	"2054-5"	"Male"	"M"	433	3594914	12.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"Black or African American"	"2054-5"	"Male"	"M"	438	3638549	12.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"Black or African American"	"2054-5"	"Male"	"M"	466	3693590	12.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2015"	"2015"	"Black or African American"	"2054-5"	"Male"	"M"	488	3732849	13.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	517	3760839	13.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2017"	"2017"	"Black or African American"	"2054-5"	"Male"	"M"	462	3802988	12.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	"Black or African American"	"2054-5"	"Male"	"M"	442	3793231	11.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	"Black or African American"	"2054-5"	"Male"	"M"	498	3797834	13.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Male"	"M"	521	3831098	13.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	108	3166928	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2000"	"2000"	"Black or African American"	"2054-5"	"Male"	"M"	110	3199210	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2001"	"2001"	"Black or African American"	"2054-5"	"Male"	"M"	111	3241467	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2002"	"2002"	"Black or African American"	"2054-5"	"Male"	"M"	130	3273969	4.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	129	3303059	3.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	148	3324658	4.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2005"	"2005"	"Black or African American"	"2054-5"	"Male"	"M"	108	3347579	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2006"	"2006"	"Black or African American"	"2054-5"	"Male"	"M"	129	3372310	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2007"	"2007"	"Black or African American"	"2054-5"	"Male"	"M"	166	3401460	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2008"	"2008"	"Black or African American"	"2054-5"	"Male"	"M"	146	3437306	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	146	3477179	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2010"	"2010"	"Black or African American"	"2054-5"	"Male"	"M"	150	3508921	4.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	"Black or African American"	"2054-5"	"Male"	"M"	137	3551546	3.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2012"	"2012"	"Black or African American"	"2054-5"	"Male"	"M"	148	3594914	4.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2013"	"2013"	"Black or African American"	"2054-5"	"Male"	"M"	158	3638549	4.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2014"	"2014"	"Black or African American"	"2054-5"	"Male"	"M"	139	3693590	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2015"	"2015"	"Black or African American"	"2054-5"	"Male"	"M"	152	3732849	4.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	114	3760839	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2017"	"2017"	"Black or African American"	"2054-5"	"Male"	"M"	121	3802988	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2018"	"2018"	"Black or African American"	"2054-5"	"Male"	"M"	93	3793231	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2019"	"2019"	"Black or African American"	"2054-5"	"Male"	"M"	66	3797834	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Male"	"M"	47	3831098	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	1507	3166928	47.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2000"	"2000"	"Black or African American"	"2054-5"	"Male"	"M"	1406	3199210	43.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2001"	"2001"	"Black or African American"	"2054-5"	"Male"	"M"	1354	3241467	41.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2002"	"2002"	"Black or African American"	"2054-5"	"Male"	"M"	1258	3273969	38.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	1212	3303059	36.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	1139	3324658	34.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2005"	"2005"	"Black or African American"	"2054-5"	"Male"	"M"	1065	3347579	31.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2006"	"2006"	"Black or African American"	"2054-5"	"Male"	"M"	919	3372310	27.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2007"	"2007"	"Black or African American"	"2054-5"	"Male"	"M"	862	3401460	25.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2008"	"2008"	"Black or African American"	"2054-5"	"Male"	"M"	804	3437306	23.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	729	3477179	21.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2010"	"2010"	"Black or African American"	"2054-5"	"Male"	"M"	672	3508921	19.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2011"	"2011"	"Black or African American"	"2054-5"	"Male"	"M"	594	3551546	16.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2012"	"2012"	"Black or African American"	"2054-5"	"Male"	"M"	499	3594914	13.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2013"	"2013"	"Black or African American"	"2054-5"	"Male"	"M"	483	3638549	13.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2014"	"2014"	"Black or African American"	"2054-5"	"Male"	"M"	475	3693590	12.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2015"	"2015"	"Black or African American"	"2054-5"	"Male"	"M"	449	3732849	12.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	371	3760839	9.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2017"	"2017"	"Black or African American"	"2054-5"	"Male"	"M"	320	3802988	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2018"	"2018"	"Black or African American"	"2054-5"	"Male"	"M"	317	3793231	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2019"	"2019"	"Black or African American"	"2054-5"	"Male"	"M"	291	3797834	7.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Male"	"M"	283	3831098	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	109	3166928	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2000"	"2000"	"Black or African American"	"2054-5"	"Male"	"M"	80	3199210	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2001"	"2001"	"Black or African American"	"2054-5"	"Male"	"M"	86	3241467	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2002"	"2002"	"Black or African American"	"2054-5"	"Male"	"M"	85	3273969	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	79	3303059	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	71	3324658	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2005"	"2005"	"Black or African American"	"2054-5"	"Male"	"M"	89	3347579	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2006"	"2006"	"Black or African American"	"2054-5"	"Male"	"M"	62	3372310	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2007"	"2007"	"Black or African American"	"2054-5"	"Male"	"M"	65	3401460	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2008"	"2008"	"Black or African American"	"2054-5"	"Male"	"M"	59	3437306	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	60	3477179	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2010"	"2010"	"Black or African American"	"2054-5"	"Male"	"M"	70	3508921	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2011"	"2011"	"Black or African American"	"2054-5"	"Male"	"M"	56	3551546	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2012"	"2012"	"Black or African American"	"2054-5"	"Male"	"M"	65	3594914	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2013"	"2013"	"Black or African American"	"2054-5"	"Male"	"M"	62	3638549	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2014"	"2014"	"Black or African American"	"2054-5"	"Male"	"M"	63	3693590	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2015"	"2015"	"Black or African American"	"2054-5"	"Male"	"M"	79	3732849	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	73	3760839	1.9
