"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1988"	"1988"	"Other Race"	"2131-1"	"Male"	"M"	31	16555	187.3
	"Alabama"	"01"	"1988"	"1988"	"White"	"2106-3"	"Female"	"F"	13537	1528222	885.8
	"Alabama"	"01"	"1988"	"1988"	"White"	"2106-3"	"Male"	"M"	15004	1445150	1038.2
	"Alabama"	"01"	"1989"	"1989"	"Black or African American"	"2054-5"	"Female"	"F"	4939	550974	896.4
	"Alabama"	"01"	"1989"	"1989"	"Black or African American"	"2054-5"	"Male"	"M"	5502	470842	1168.5
	"Alabama"	"01"	"1989"	"1989"	"Other Race"	"2131-1"	"Female"	"F"	15	19124	78.4 (Unreliable)
	"Alabama"	"01"	"1989"	"1989"	"Other Race"	"2131-1"	"Male"	"M"	22	17688	124.4
	"Alabama"	"01"	"1989"	"1989"	"White"	"2106-3"	"Female"	"F"	13555	1530057	885.9
	"Alabama"	"01"	"1989"	"1989"	"White"	"2106-3"	"Male"	"M"	14973	1446295	1035.3
	"Alabama"	"01"	"1990"	"1990"	"Black or African American"	"2054-5"	"Female"	"F"	5042	552711	912.2
	"Alabama"	"01"	"1990"	"1990"	"Black or African American"	"2054-5"	"Male"	"M"	5564	470865	1181.7
	"Alabama"	"01"	"1990"	"1990"	"Other Race"	"2131-1"	"Female"	"F"	19	19977	95.1 (Unreliable)
	"Alabama"	"01"	"1990"	"1990"	"Other Race"	"2131-1"	"Male"	"M"	35	18468	189.5
	"Alabama"	"01"	"1990"	"1990"	"White"	"2106-3"	"Female"	"F"	13635	1533242	889.3
	"Alabama"	"01"	"1990"	"1990"	"White"	"2106-3"	"Male"	"M"	15086	1448380	1041.6
	"Alabama"	"01"	"1991"	"1991"	"Black or African American"	"2054-5"	"Female"	"F"	5037	562277	895.8
	"Alabama"	"01"	"1991"	"1991"	"Black or African American"	"2054-5"	"Male"	"M"	5604	479630	1168.4
	"Alabama"	"01"	"1991"	"1991"	"Other Race"	"2131-1"	"Female"	"F"	25	20855	119.9
	"Alabama"	"01"	"1991"	"1991"	"Other Race"	"2131-1"	"Male"	"M"	22	19254	114.3
	"Alabama"	"01"	"1991"	"1991"	"White"	"2106-3"	"Female"	"F"	13959	1552522	899.1
	"Alabama"	"01"	"1991"	"1991"	"White"	"2106-3"	"Male"	"M"	15416	1467069	1050.8
	"Alabama"	"01"	"1992"	"1992"	"Black or African American"	"2054-5"	"Female"	"F"	4981	571940	870.9
	"Alabama"	"01"	"1992"	"1992"	"Black or African American"	"2054-5"	"Male"	"M"	5498	490108	1121.8
	"Alabama"	"01"	"1992"	"1992"	"Other Race"	"2131-1"	"Female"	"F"	20	21520	92.9
	"Alabama"	"01"	"1992"	"1992"	"Other Race"	"2131-1"	"Male"	"M"	41	20131	203.7
	"Alabama"	"01"	"1992"	"1992"	"White"	"2106-3"	"Female"	"F"	13659	1567901	871.2
	"Alabama"	"01"	"1992"	"1992"	"White"	"2106-3"	"Male"	"M"	15153	1484099	1021.0
	"Alabama"	"01"	"1993"	"1993"	"Black or African American"	"2054-5"	"Female"	"F"	5199	581877	893.5
	"Alabama"	"01"	"1993"	"1993"	"Black or African American"	"2054-5"	"Male"	"M"	5566	500707	1111.6
	"Alabama"	"01"	"1993"	"1993"	"Other Race"	"2131-1"	"Female"	"F"	34	22888	148.5
	"Alabama"	"01"	"1993"	"1993"	"Other Race"	"2131-1"	"Male"	"M"	45	21357	210.7
	"Alabama"	"01"	"1993"	"1993"	"White"	"2106-3"	"Female"	"F"	15120	1586491	953.0
	"Alabama"	"01"	"1993"	"1993"	"White"	"2106-3"	"Male"	"M"	15308	1502888	1018.6
	"Alabama"	"01"	"1994"	"1994"	"Black or African American"	"2054-5"	"Female"	"F"	5180	591100	876.3
	"Alabama"	"01"	"1994"	"1994"	"Black or African American"	"2054-5"	"Male"	"M"	5587	509633	1096.3
	"Alabama"	"01"	"1994"	"1994"	"Other Race"	"2131-1"	"Female"	"F"	42	23851	176.1
	"Alabama"	"01"	"1994"	"1994"	"Other Race"	"2131-1"	"Male"	"M"	46	22297	206.3
	"Alabama"	"01"	"1994"	"1994"	"White"	"2106-3"	"Female"	"F"	15161	1599235	948.0
	"Alabama"	"01"	"1994"	"1994"	"White"	"2106-3"	"Male"	"M"	15692	1516341	1034.9
	"Alabama"	"01"	"1995"	"1995"	"Black or African American"	"2054-5"	"Female"	"F"	5168	598697	863.2
	"Alabama"	"01"	"1995"	"1995"	"Black or African American"	"2054-5"	"Male"	"M"	5787	516231	1121.0
	"Alabama"	"01"	"1995"	"1995"	"Other Race"	"2131-1"	"Female"	"F"	33	25119	131.4
	"Alabama"	"01"	"1995"	"1995"	"Other Race"	"2131-1"	"Male"	"M"	33	23500	140.4
	"Alabama"	"01"	"1995"	"1995"	"White"	"2106-3"	"Female"	"F"	15463	1607846	961.7
	"Alabama"	"01"	"1995"	"1995"	"White"	"2106-3"	"Male"	"M"	15878	1527588	1039.4
	"Alabama"	"01"	"1996"	"1996"	"Black or African American"	"2054-5"	"Female"	"F"	5205	604686	860.8
	"Alabama"	"01"	"1996"	"1996"	"Black or African American"	"2054-5"	"Male"	"M"	5615	521901	1075.9
	"Alabama"	"01"	"1996"	"1996"	"Other Race"	"2131-1"	"Female"	"F"	32	26345	121.5
	"Alabama"	"01"	"1996"	"1996"	"Other Race"	"2131-1"	"Male"	"M"	43	24499	175.5
	"Alabama"	"01"	"1996"	"1996"	"White"	"2106-3"	"Female"	"F"	15782	1617621	975.6
	"Alabama"	"01"	"1996"	"1996"	"White"	"2106-3"	"Male"	"M"	16150	1539167	1049.3
	"Alabama"	"01"	"1997"	"1997"	"Black or African American"	"2054-5"	"Female"	"F"	5256	612784	857.7
	"Alabama"	"01"	"1997"	"1997"	"Black or African American"	"2054-5"	"Male"	"M"	5536	528672	1047.2
	"Alabama"	"01"	"1997"	"1997"	"Other Race"	"2131-1"	"Female"	"F"	37	27188	136.1
	"Alabama"	"01"	"1997"	"1997"	"Other Race"	"2131-1"	"Male"	"M"	46	25591	179.8
	"Alabama"	"01"	"1997"	"1997"	"White"	"2106-3"	"Female"	"F"	16087	1626336	989.2
	"Alabama"	"01"	"1997"	"1997"	"White"	"2106-3"	"Male"	"M"	16296	1549919	1051.4
	"Alabama"	"01"	"1998"	"1998"	"Black or African American"	"2054-5"	"Female"	"F"	5393	619323	870.8
	"Alabama"	"01"	"1998"	"1998"	"Black or African American"	"2054-5"	"Male"	"M"	5472	534488	1023.8
	"Alabama"	"01"	"1998"	"1998"	"Other Race"	"2131-1"	"Female"	"F"	46	28025	164.1
	"Alabama"	"01"	"1998"	"1998"	"Other Race"	"2131-1"	"Male"	"M"	54	26129	206.7
	"Alabama"	"01"	"1998"	"1998"	"White"	"2106-3"	"Female"	"F"	16468	1636349	1006.4
	"Alabama"	"01"	"1998"	"1998"	"White"	"2106-3"	"Male"	"M"	16517	1564084	1056.0
	"Alaska"	"02"	"1980"	"1980"	"Black or African American"	"2054-5"	"Female"	"F"	12	6016	199.5 (Unreliable)
	"Alaska"	"02"	"1980"	"1980"	"Black or African American"	"2054-5"	"Male"	"M"	35	7720	453.4
	"Alaska"	"02"	"1980"	"1980"	"Other Race"	"2131-1"	"Female"	"F"	171	36225	472.0
	"Alaska"	"02"	"1980"	"1980"	"Other Race"	"2131-1"	"Male"	"M"	342	36978	924.9
	"Alaska"	"02"	"1980"	"1980"	"White"	"2106-3"	"Female"	"F"	357	147473	242.1
	"Alaska"	"02"	"1980"	"1980"	"White"	"2106-3"	"Male"	"M"	797	169182	471.1
	"Alaska"	"02"	"1981"	"1981"	"Black or African American"	"2054-5"	"Female"	"F"	14	6530	214.4 (Unreliable)
	"Alaska"	"02"	"1981"	"1981"	"Black or African American"	"2054-5"	"Male"	"M"	30	8337	359.8
	"Alaska"	"02"	"1981"	"1981"	"Other Race"	"2131-1"	"Female"	"F"	178	37469	475.1
	"Alaska"	"02"	"1981"	"1981"	"Other Race"	"2131-1"	"Male"	"M"	334	37833	882.8
	"Alaska"	"02"	"1981"	"1981"	"White"	"2106-3"	"Female"	"F"	410	153747	266.7
	"Alaska"	"02"	"1981"	"1981"	"White"	"2106-3"	"Male"	"M"	757	176245	429.5
	"Alaska"	"02"	"1982"	"1982"	"Black or African American"	"2054-5"	"Female"	"F"	24	7224	332.2
	"Alaska"	"02"	"1982"	"1982"	"Black or African American"	"2054-5"	"Male"	"M"	25	9160	272.9
	"Alaska"	"02"	"1982"	"1982"	"Other Race"	"2131-1"	"Female"	"F"	190	40109	473.7
	"Alaska"	"02"	"1982"	"1982"	"Other Race"	"2131-1"	"Male"	"M"	322	40110	802.8
	"Alaska"	"02"	"1982"	"1982"	"White"	"2106-3"	"Female"	"F"	405	165699	244.4
	"Alaska"	"02"	"1982"	"1982"	"White"	"2106-3"	"Male"	"M"	819	189370	432.5
	"Alaska"	"02"	"1983"	"1983"	"Black or African American"	"2054-5"	"Female"	"F"	29	8092	358.4
	"Alaska"	"02"	"1983"	"1983"	"Black or African American"	"2054-5"	"Male"	"M"	31	10054	308.3
	"Alaska"	"02"	"1983"	"1983"	"Other Race"	"2131-1"	"Female"	"F"	190	43229	439.5
	"Alaska"	"02"	"1983"	"1983"	"Other Race"	"2131-1"	"Male"	"M"	305	42939	710.3
	"Alaska"	"02"	"1983"	"1983"	"White"	"2106-3"	"Female"	"F"	464	180701	256.8
	"Alaska"	"02"	"1983"	"1983"	"White"	"2106-3"	"Male"	"M"	878	205096	428.1
	"Alaska"	"02"	"1984"	"1984"	"Black or African American"	"2054-5"	"Female"	"F"	14	8618	162.5 (Unreliable)
	"Alaska"	"02"	"1984"	"1984"	"Black or African American"	"2054-5"	"Male"	"M"	40	10692	374.1
	"Alaska"	"02"	"1984"	"1984"	"Other Race"	"2131-1"	"Female"	"F"	210	45516	461.4
	"Alaska"	"02"	"1984"	"1984"	"Other Race"	"2131-1"	"Male"	"M"	340	45071	754.4
	"Alaska"	"02"	"1984"	"1984"	"White"	"2106-3"	"Female"	"F"	455	189870	239.6
	"Alaska"	"02"	"1984"	"1984"	"White"	"2106-3"	"Male"	"M"	870	215247	404.2
	"Alaska"	"02"	"1985"	"1985"	"Black or African American"	"2054-5"	"Female"	"F"	25	9155	273.1
	"Alaska"	"02"	"1985"	"1985"	"Black or African American"	"2054-5"	"Male"	"M"	41	11328	361.9
	"Alaska"	"02"	"1985"	"1985"	"Other Race"	"2131-1"	"Female"	"F"	199	47195	421.7
	"Alaska"	"02"	"1985"	"1985"	"Other Race"	"2131-1"	"Male"	"M"	362	46574	777.3
	"Alaska"	"02"	"1985"	"1985"	"White"	"2106-3"	"Female"	"F"	499	196612	253.8
	"Alaska"	"02"	"1985"	"1985"	"White"	"2106-3"	"Male"	"M"	942	222547	423.3
	"Alaska"	"02"	"1986"	"1986"	"Black or African American"	"2054-5"	"Female"	"F"	19	9512	199.7 (Unreliable)
	"Alaska"	"02"	"1986"	"1986"	"Black or African American"	"2054-5"	"Male"	"M"	34	11749	289.4
	"Alaska"	"02"	"1986"	"1986"	"Other Race"	"2131-1"	"Female"	"F"	211	48712	433.2
	"Alaska"	"02"	"1986"	"1986"	"Other Race"	"2131-1"	"Male"	"M"	325	48234	673.8
	"Alaska"	"02"	"1986"	"1986"	"White"	"2106-3"	"Female"	"F"	556	199375	278.9
	"Alaska"	"02"	"1986"	"1986"	"White"	"2106-3"	"Male"	"M"	945	226531	417.2
	"Alaska"	"02"	"1987"	"1987"	"Black or African American"	"2054-5"	"Female"	"F"	23	9546	240.9
	"Alaska"	"02"	"1987"	"1987"	"Black or African American"	"2054-5"	"Male"	"M"	32	11784	271.6
	"Alaska"	"02"	"1987"	"1987"	"Other Race"	"2131-1"	"Female"	"F"	206	49564	415.6
	"Alaska"	"02"	"1987"	"1987"	"Other Race"	"2131-1"	"Male"	"M"	361	49054	735.9
	"Alaska"	"02"	"1987"	"1987"	"White"	"2106-3"	"Female"	"F"	502	195950	256.2
	"Alaska"	"02"	"1987"	"1987"	"White"	"2106-3"	"Male"	"M"	931	222876	417.7
	"Alaska"	"02"	"1988"	"1988"	"Black or African American"	"2054-5"	"Female"	"F"	20	9778	204.5
	"Alaska"	"02"	"1988"	"1988"	"Black or African American"	"2054-5"	"Male"	"M"	32	12013	266.4
	"Alaska"	"02"	"1988"	"1988"	"Other Race"	"2131-1"	"Female"	"F"	223	51264	435.0
	"Alaska"	"02"	"1988"	"1988"	"Other Race"	"2131-1"	"Male"	"M"	345	50834	678.7
	"Alaska"	"02"	"1988"	"1988"	"White"	"2106-3"	"Female"	"F"	518	195079	265.5
	"Alaska"	"02"	"1988"	"1988"	"White"	"2106-3"	"Male"	"M"	926	222536	416.1
	"Alaska"	"02"	"1989"	"1989"	"Black or African American"	"2054-5"	"Female"	"F"	25	10081	248.0
	"Alaska"	"02"	"1989"	"1989"	"Black or African American"	"2054-5"	"Male"	"M"	30	12351	242.9
	"Alaska"	"02"	"1989"	"1989"	"Other Race"	"2131-1"	"Female"	"F"	214	52896	404.6
	"Alaska"	"02"	"1989"	"1989"	"Other Race"	"2131-1"	"Male"	"M"	381	52497	725.8
	"Alaska"	"02"	"1989"	"1989"	"White"	"2106-3"	"Female"	"F"	527	195888	269.0
	"Alaska"	"02"	"1989"	"1989"	"White"	"2106-3"	"Male"	"M"	918	223729	410.3
	"Alaska"	"02"	"1990"	"1990"	"Black or African American"	"2054-5"	"Female"	"F"	29	10208	284.1
	"Alaska"	"02"	"1990"	"1990"	"Black or African American"	"2054-5"	"Male"	"M"	30	12477	240.4
	"Alaska"	"02"	"1990"	"1990"	"Other Race"	"2131-1"	"Female"	"F"	215	53541	401.6
	"Alaska"	"02"	"1990"	"1990"	"Other Race"	"2131-1"	"Male"	"M"	397	53176	746.6
	"Alaska"	"02"	"1990"	"1990"	"White"	"2106-3"	"Female"	"F"	539	196424	274.4
	"Alaska"	"02"	"1990"	"1990"	"White"	"2106-3"	"Male"	"M"	978	224156	436.3
	"Alaska"	"02"	"1991"	"1991"	"Black or African American"	"2054-5"	"Female"	"F"	19	10450	181.8 (Unreliable)
	"Alaska"	"02"	"1991"	"1991"	"Black or African American"	"2054-5"	"Male"	"M"	30	12611	237.9
	"Alaska"	"02"	"1991"	"1991"	"Other Race"	"2131-1"	"Female"	"F"	235	55720	421.8
	"Alaska"	"02"	"1991"	"1991"	"Other Race"	"2131-1"	"Male"	"M"	389	55153	705.3
	"Alaska"	"02"	"1991"	"1991"	"White"	"2106-3"	"Female"	"F"	562	204131	275.3
	"Alaska"	"02"	"1991"	"1991"	"White"	"2106-3"	"Male"	"M"	965	232375	415.3
	"Alaska"	"02"	"1992"	"1992"	"Black or African American"	"2054-5"	"Female"	"F"	29	11307	256.5
	"Alaska"	"02"	"1992"	"1992"	"Black or African American"	"2054-5"	"Male"	"M"	33	13460	245.2
	"Alaska"	"02"	"1992"	"1992"	"Other Race"	"2131-1"	"Female"	"F"	259	57606	449.6
	"Alaska"	"02"	"1992"	"1992"	"Other Race"	"2131-1"	"Male"	"M"	388	57180	678.6
	"Alaska"	"02"	"1992"	"1992"	"White"	"2106-3"	"Female"	"F"	609	210215	289.7
	"Alaska"	"02"	"1992"	"1992"	"White"	"2106-3"	"Male"	"M"	985	239621	411.1
	"Alaska"	"02"	"1993"	"1993"	"Black or African American"	"2054-5"	"Female"	"F"	32	12219	261.9
	"Alaska"	"02"	"1993"	"1993"	"Black or African American"	"2054-5"	"Male"	"M"	48	14344	334.6
	"Alaska"	"02"	"1993"	"1993"	"Other Race"	"2131-1"	"Female"	"F"	265	59225	447.4
	"Alaska"	"02"	"1993"	"1993"	"Other Race"	"2131-1"	"Male"	"M"	380	58790	646.4
	"Alaska"	"02"	"1993"	"1993"	"White"	"2106-3"	"Female"	"F"	623	213198	292.2
	"Alaska"	"02"	"1993"	"1993"	"White"	"2106-3"	"Male"	"M"	1035	242108	427.5
	"Alaska"	"02"	"1994"	"1994"	"Black or African American"	"2054-5"	"Female"	"F"	22	12274	179.2
	"Alaska"	"02"	"1994"	"1994"	"Black or African American"	"2054-5"	"Male"	"M"	42	13759	305.3
	"Alaska"	"02"	"1994"	"1994"	"Other Race"	"2131-1"	"Female"	"F"	251	60385	415.7
	"Alaska"	"02"	"1994"	"1994"	"Other Race"	"2131-1"	"Male"	"M"	410	60163	681.5
	"Alaska"	"02"	"1994"	"1994"	"White"	"2106-3"	"Female"	"F"	691	214881	321.6
	"Alaska"	"02"	"1994"	"1994"	"White"	"2106-3"	"Male"	"M"	1029	242456	424.4
	"Alaska"	"02"	"1995"	"1995"	"Black or African American"	"2054-5"	"Female"	"F"	29	11735	247.1
	"Alaska"	"02"	"1995"	"1995"	"Black or African American"	"2054-5"	"Male"	"M"	41	13002	315.3
	"Alaska"	"02"	"1995"	"1995"	"Other Race"	"2131-1"	"Female"	"F"	258	61844	417.2
	"Alaska"	"02"	"1995"	"1995"	"Other Race"	"2131-1"	"Male"	"M"	372	61133	608.5
	"Alaska"	"02"	"1995"	"1995"	"White"	"2106-3"	"Female"	"F"	707	216002	327.3
	"Alaska"	"02"	"1995"	"1995"	"White"	"2106-3"	"Male"	"M"	1146	241352	474.8
	"Alaska"	"02"	"1996"	"1996"	"Black or African American"	"2054-5"	"Female"	"F"	25	11443	218.5
	"Alaska"	"02"	"1996"	"1996"	"Black or African American"	"2054-5"	"Male"	"M"	51	12959	393.5
	"Alaska"	"02"	"1996"	"1996"	"Other Race"	"2131-1"	"Female"	"F"	286	63749	448.6
	"Alaska"	"02"	"1996"	"1996"	"Other Race"	"2131-1"	"Male"	"M"	377	62921	599.2
	"Alaska"	"02"	"1996"	"1996"	"White"	"2106-3"	"Female"	"F"	749	217113	345.0
	"Alaska"	"02"	"1996"	"1996"	"White"	"2106-3"	"Male"	"M"	1094	241046	453.9
	"Alaska"	"02"	"1997"	"1997"	"Black or African American"	"2054-5"	"Female"	"F"	26	11900	218.5
	"Alaska"	"02"	"1997"	"1997"	"Black or African American"	"2054-5"	"Male"	"M"	34	13246	256.7
	"Alaska"	"02"	"1997"	"1997"	"Other Race"	"2131-1"	"Female"	"F"	263	65431	402.0
	"Alaska"	"02"	"1997"	"1997"	"Other Race"	"2131-1"	"Male"	"M"	425	64673	657.2
	"Alaska"	"02"	"1997"	"1997"	"White"	"2106-3"	"Female"	"F"	740	217862	339.7
	"Alaska"	"02"	"1997"	"1997"	"White"	"2106-3"	"Male"	"M"	1087	240418	452.1
	"Alaska"	"02"	"1998"	"1998"	"Black or African American"	"2054-5"	"Female"	"F"	30	12330	243.3
	"Alaska"	"02"	"1998"	"1998"	"Black or African American"	"2054-5"	"Male"	"M"	39	13644	285.8
	"Alaska"	"02"	"1998"	"1998"	"Other Race"	"2131-1"	"Female"	"F"	292	67388	433.3
	"Alaska"	"02"	"1998"	"1998"	"Other Race"	"2131-1"	"Male"	"M"	375	66298	565.6
	"Alaska"	"02"	"1998"	"1998"	"White"	"2106-3"	"Female"	"F"	751	219206	342.6
	"Alaska"	"02"	"1998"	"1998"	"White"	"2106-3"	"Male"	"M"	1084	241637	448.6
	"Arizona"	"04"	"1980"	"1980"	"Black or African American"	"2054-5"	"Female"	"F"	224	36379	615.7
	"Arizona"	"04"	"1980"	"1980"	"Black or African American"	"2054-5"	"Male"	"M"	330	39218	841.5
	"Arizona"	"04"	"1980"	"1980"	"Other Race"	"2131-1"	"Female"	"F"	401	91962	436.0
	"Arizona"	"04"	"1980"	"1980"	"Other Race"	"2131-1"	"Male"	"M"	662	86060	769.2
	"Arizona"	"04"	"1980"	"1980"	"White"	"2106-3"	"Female"	"F"	8343	1255399	664.6
	"Arizona"	"04"	"1980"	"1980"	"White"	"2106-3"	"Male"	"M"	11407	1216467	937.7
	"Arizona"	"04"	"1981"	"1981"	"Black or African American"	"2054-5"	"Female"	"F"	202	38719	521.7
	"Arizona"	"04"	"1981"	"1981"	"Black or African American"	"2054-5"	"Male"	"M"	350	41823	836.9
	"Arizona"	"04"	"1981"	"1981"	"Other Race"	"2131-1"	"Female"	"F"	360	94689	380.2
	"Arizona"	"04"	"1981"	"1981"	"Other Race"	"2131-1"	"Male"	"M"	632	88354	715.3
	"Arizona"	"04"	"1981"	"1981"	"White"	"2106-3"	"Female"	"F"	8374	1296303	646.0
	"Arizona"	"04"	"1981"	"1981"	"White"	"2106-3"	"Male"	"M"	11440	1256976	910.1
	"Arizona"	"04"	"1982"	"1982"	"Black or African American"	"2054-5"	"Female"	"F"	182	40254	452.1
	"Arizona"	"04"	"1982"	"1982"	"Black or African American"	"2054-5"	"Male"	"M"	305	43525	700.7
	"Arizona"	"04"	"1982"	"1982"	"Other Race"	"2131-1"	"Female"	"F"	399	97729	408.3
	"Arizona"	"04"	"1982"	"1982"	"Other Race"	"2131-1"	"Male"	"M"	621	91432	679.2
	"Arizona"	"04"	"1982"	"1982"	"White"	"2106-3"	"Female"	"F"	8787	1331645	659.9
	"Arizona"	"04"	"1982"	"1982"	"White"	"2106-3"	"Male"	"M"	11675	1291505	904.0
	"Arizona"	"04"	"1983"	"1983"	"Black or African American"	"2054-5"	"Female"	"F"	241	41792	576.7
	"Arizona"	"04"	"1983"	"1983"	"Black or African American"	"2054-5"	"Male"	"M"	364	45297	803.6
	"Arizona"	"04"	"1983"	"1983"	"Other Race"	"2131-1"	"Female"	"F"	361	101159	356.9
	"Arizona"	"04"	"1983"	"1983"	"Other Race"	"2131-1"	"Male"	"M"	609	95091	640.4
	"Arizona"	"04"	"1983"	"1983"	"White"	"2106-3"	"Female"	"F"	9155	1365054	670.7
	"Arizona"	"04"	"1983"	"1983"	"White"	"2106-3"	"Male"	"M"	11863	1326086	894.6
	"Arizona"	"04"	"1984"	"1984"	"Black or African American"	"2054-5"	"Female"	"F"	234	43751	534.8
