"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2017"	"2017"	43	4131608	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2018"	"2018"	47	4151230	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2019"	"2019"	37	4184856	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2020 "	"2020"	36	4224079	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"1999"	"1999"	138	2575403	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2000"	"2000"	149	2642990	5.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2001"	"2001"	172	2754312	6.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2002"	"2002"	173	2838316	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2003"	"2003"	159	2918670	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2004"	"2004"	163	2993098	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2005"	"2005"	151	3063359	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2006"	"2006"	153	3141259	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2007"	"2007"	167	3227239	5.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2008"	"2008"	174	3326597	5.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2009"	"2009"	173	3433000	5.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2010"	"2010"	169	3513004	4.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2011"	"2011"	178	3606372	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2012"	"2012"	195	3693320	5.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2013"	"2013"	185	3777273	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2014"	"2014"	219	3878785	5.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2015"	"2015"	241	3964324	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2016"	"2016"	245	4020768	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2017"	"2017"	242	4131608	5.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2018"	"2018"	229	4151230	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2019"	"2019"	219	4184856	5.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2020 "	"2020"	276	4224079	6.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"1999"	"1999"	43	2575403	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2000"	"2000"	39	2642990	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2001"	"2001"	62	2754312	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2002"	"2002"	62	2838316	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2003"	"2003"	46	2918670	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2004"	"2004"	55	2993098	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2005"	"2005"	51	3063359	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2006"	"2006"	59	3141259	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2007"	"2007"	65	3227239	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2008"	"2008"	90	3326597	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2009"	"2009"	68	3433000	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2010"	"2010"	63	3513004	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2011"	"2011"	69	3606372	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2012"	"2012"	80	3693320	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2013"	"2013"	80	3777273	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2014"	"2014"	69	3878785	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2015"	"2015"	67	3964324	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2016"	"2016"	52	4020768	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2017"	"2017"	45	4131608	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2018"	"2018"	38	4151230	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2019"	"2019"	33	4184856	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2020 "	"2020"	28	4224079	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"1999"	"1999"	280	2575403	10.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2000"	"2000"	261	2642990	9.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2001"	"2001"	260	2754312	9.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2002"	"2002"	259	2838316	9.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2003"	"2003"	251	2918670	8.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2004"	"2004"	224	2993098	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2005"	"2005"	167	3063359	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2006"	"2006"	185	3141259	5.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2007"	"2007"	175	3227239	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2008"	"2008"	181	3326597	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2009"	"2009"	147	3433000	4.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2010"	"2010"	118	3513004	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2011"	"2011"	138	3606372	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2012"	"2012"	103	3693320	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2013"	"2013"	93	3777273	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2014"	"2014"	85	3878785	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2015"	"2015"	70	3964324	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2016"	"2016"	57	4020768	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2017"	"2017"	69	4131608	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2018"	"2018"	53	4151230	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2019"	"2019"	63	4184856	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2020 "	"2020"	50	4224079	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"1999"	"1999"	30	2575403	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2000"	"2000"	31	2642990	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2001"	"2001"	27	2754312	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2002"	"2002"	28	2838316	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2003"	"2003"	33	2918670	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2004"	"2004"	34	2993098	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2005"	"2005"	38	3063359	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2006"	"2006"	21	3141259	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2007"	"2007"	32	3227239	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2008"	"2008"	31	3326597	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2009"	"2009"	28	3433000	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2010"	"2010"	27	3513004	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2011"	"2011"	28	3606372	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2012"	"2012"	35	3693320	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2013"	"2013"	47	3777273	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2014"	"2014"	32	3878785	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2015"	"2015"	52	3964324	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2016"	"2016"	43	4020768	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2017"	"2017"	28	4131608	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2018"	"2018"	62	4151230	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2019"	"2019"	60	4184856	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2020 "	"2020"	5385	4224079	127.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"1999"	"1999"	1466	2575403	56.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2000"	"2000"	1575	2642990	59.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2001"	"2001"	1647	2754312	59.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2002"	"2002"	1656	2838316	58.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2003"	"2003"	1798	2918670	61.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2004"	"2004"	1771	2993098	59.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2005"	"2005"	1882	3063359	61.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2006"	"2006"	1891	3141259	60.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2007"	"2007"	1961	3227239	60.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2008"	"2008"	2070	3326597	62.2
