"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	28	3166928	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	33	3199210	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	19	3241467	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	24	3273969	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	21	3303059	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	19	3324658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	15	3372310	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	11	3401460	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	10	3437306	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	13	3477179	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	12	3508921	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	10	3594914	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	10	3693590	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	15	3760839	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	10	3793231	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	16	3166928	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	30	3199210	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	14	3241467	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	19	3273969	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	16	3303059	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	12	3324658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	10	3760839	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	12	3166928	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	483	3166928	15.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	463	3199210	14.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	518	3241467	16.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	500	3273969	15.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	519	3303059	15.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	497	3324658	14.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	551	3347579	16.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	506	3372310	15.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	517	3401460	15.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	494	3437306	14.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	442	3477179	12.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	427	3508921	12.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	510	3551546	14.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	433	3594914	12.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	438	3638549	12.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	466	3693590	12.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	488	3732849	13.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	517	3760839	13.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	462	3802988	12.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	442	3793231	11.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	498	3797834	13.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	521	3831098	13.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	108	3166928	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	110	3199210	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	111	3241467	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	130	3273969	4.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	129	3303059	3.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	148	3324658	4.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	108	3347579	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	129	3372310	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	166	3401460	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	146	3437306	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	146	3477179	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	150	3508921	4.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	137	3551546	3.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	148	3594914	4.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	158	3638549	4.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	139	3693590	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	152	3732849	4.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	114	3760839	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	121	3802988	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	93	3793231	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	66	3797834	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	47	3831098	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	1507	3166928	47.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	1406	3199210	43.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	1354	3241467	41.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	1258	3273969	38.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	1212	3303059	36.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	1139	3324658	34.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	1065	3347579	31.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	919	3372310	27.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	862	3401460	25.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	804	3437306	23.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	729	3477179	21.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	672	3508921	19.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	594	3551546	16.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	499	3594914	13.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	483	3638549	13.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	475	3693590	12.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	449	3732849	12.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	371	3760839	9.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	320	3802988	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	317	3793231	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	291	3797834	7.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	283	3831098	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	109	3166928	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	80	3199210	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	86	3241467	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	85	3273969	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	79	3303059	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	71	3324658	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	89	3347579	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	62	3372310	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	65	3401460	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	59	3437306	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	60	3477179	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	70	3508921	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	56	3551546	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	65	3594914	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	62	3638549	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	63	3693590	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	79	3732849	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	73	3760839	1.9
